% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
2.3015	1	0	5	5	230	2	1	3	2	15	1	0	2	274
2.3095	1	0	6	6	231	0	1	1	2	15	1	0	0	172
2.3155	1	0	2	2	231	6	1	1	1	15	1	0	26	1862
2.3315	1	0	1	1	233	2	1	1	1	15	1	0	26	1862
2.3415	1	0	8	8	234	2	1	1	3	15	1	0	0	260
2.3465	1	0	7	7	234	7	1	1	2	15	1	0	0	172
2.3465	1	0	4	4	234	7	1	3	1	15	1	0	28	2037
2.3535	1	0	9	9	235	4	1	1	1	15	1	0	6	318
2.3585	1	0	3	3	235	9	1	1	1	15	1	0	26	1862
2.3615	1	0	5	5	236	2	1	1	2	15	1	0	0	172
2.3655	1	0	10	10	236	6	1	1	2	15	1	0	0	172
2.3655	1	0	2	2	236	6	1	3	1	15	1	0	26	1862
2.3685	1	0	6	6	236	9	1	1	3	15	1	0	0	260
2.3825	1	0	1	1	238	3	1	1	1	15	1	0	26	1862
2.3925	1	0	8	8	239	3	1	1	2	15	1	0	0	172
2.4005	1	0	4	4	240	1	1	1	1	15	1	0	26	1862
2.4015	1	0	9	9	240	2	1	1	1	15	1	0	4	216
2.4035	1	0	7	7	240	4	1	1	2	15	1	0	0	172
